"Statistic Label","Type of Land Use","Region","Year","UNIT","VALUE"
"Area Farmed in June","Total wheat","South-West","2011","000 Hectares","10.9"
"Area Farmed in June","Total wheat","South-West","2012","000 Hectares","11.4"
"Area Farmed in June","Winter wheat","State","2008","000 Hectares","87.5"
"Area Farmed in June","Winter wheat","State","2009","000 Hectares","64.3"
"Area Farmed in June","Winter wheat","State","2010","000 Hectares","59.8"
"Area Farmed in June","Winter wheat","State","2011","000 Hectares","77.7"
"Area Farmed in June","Winter wheat","State","2012","000 Hectares","84.6"
"Area Farmed in June","Winter wheat","Border","2008","000 Hectares","8.6"
"Area Farmed in June","Winter wheat","Border","2009","000 Hectares","7.2"
"Area Farmed in June","Winter wheat","Border","2010","000 Hectares","6.8"
"Area Farmed in June","Winter wheat","Border","2011","000 Hectares","7.1"
"Area Farmed in June","Winter wheat","Border","2012","000 Hectares","7.7"
"Area Farmed in June","Winter wheat","Midland","2008","000 Hectares","6.9"
"Area Farmed in June","Winter wheat","Midland","2009","000 Hectares","4.9"
"Area Farmed in June","Winter wheat","Midland","2010","000 Hectares","4.4"
"Area Farmed in June","Winter wheat","Midland","2011","000 Hectares","7"
"Area Farmed in June","Winter wheat","Midland","2012","000 Hectares","6.3"
"Area Farmed in June","Winter wheat","West","2008","000 Hectares","0.1"
"Area Farmed in June","Winter wheat","West","2009","000 Hectares","0.1"
"Area Farmed in June","Winter wheat","West","2010","000 Hectares","0.2"
"Area Farmed in June","Winter wheat","West","2011","000 Hectares","0.3"
"Area Farmed in June","Winter wheat","West","2012","000 Hectares","0.1"
"Area Farmed in June","Winter wheat","Dublin plus Mid East","2008","000 Hectares","42.6"
"Area Farmed in June","Winter wheat","Dublin plus Mid East","2009","000 Hectares","31.9"
"Area Farmed in June","Winter wheat","Dublin plus Mid East","2010","000 Hectares","30.2"
"Area Farmed in June","Winter wheat","Dublin plus Mid East","2011","000 Hectares","38.2"
"Area Farmed in June","Winter wheat","Dublin plus Mid East","2012","000 Hectares","41"
"Area Farmed in June","Winter wheat","Mid-West","2008","000 Hectares","1.3"
"Area Farmed in June","Winter wheat","Mid-West","2009","000 Hectares","0.7"
"Area Farmed in June","Winter wheat","Mid-West","2010","000 Hectares","0.8"
"Area Farmed in June","Winter wheat","Mid-West","2011","000 Hectares","1.2"
"Area Farmed in June","Winter wheat","Mid-West","2012","000 Hectares","1.2"
"Area Farmed in June","Winter wheat","South-East","2008","000 Hectares","20.7"
"Area Farmed in June","Winter wheat","South-East","2009","000 Hectares","12.6"
"Area Farmed in June","Winter wheat","South-East","2010","000 Hectares","12.9"
"Area Farmed in June","Winter wheat","South-East","2011","000 Hectares","18.5"
"Area Farmed in June","Winter wheat","South-East","2012","000 Hectares","21.1"
"Area Farmed in June","Winter wheat","South-West","2008","000 Hectares","7.3"
"Area Farmed in June","Winter wheat","South-West","2009","000 Hectares","6.9"
"Area Farmed in June","Winter wheat","South-West","2010","000 Hectares","4.5"
"Area Farmed in June","Winter wheat","South-West","2011","000 Hectares","5.4"
"Area Farmed in June","Winter wheat","South-West","2012","000 Hectares","7.2"
"Area Farmed in June","Spring wheat","State","2008","000 Hectares","23.2"
"Area Farmed in June","Spring wheat","State","2009","000 Hectares","20.2"
"Area Farmed in June","Spring wheat","State","2010","000 Hectares","18"
"Area Farmed in June","Spring wheat","State","2011","000 Hectares","16.4"
"Area Farmed in June","Spring wheat","State","2012","000 Hectares","13.5"
"Area Farmed in June","Spring wheat","Border","2008","000 Hectares","0.3"
"Area Farmed in June","Spring wheat","Border","2009","000 Hectares","0.8"
"Area Farmed in June","Spring wheat","Border","2010","000 Hectares","0.6"
"Area Farmed in June","Spring wheat","Border","2011","000 Hectares","0.5"
"Area Farmed in June","Spring wheat","Border","2012","000 Hectares","0.4"
"Area Farmed in June","Spring wheat","Midland","2008","000 Hectares","1.4"
"Area Farmed in June","Spring wheat","Midland","2009","000 Hectares","1.5"
"Area Farmed in June","Spring wheat","Midland","2010","000 Hectares","1.4"
"Area Farmed in June","Spring wheat","Midland","2011","000 Hectares","1"
"Area Farmed in June","Spring wheat","Midland","2012","000 Hectares","1.3"
"Area Farmed in June","Spring wheat","West","2008","000 Hectares","0.2"
"Area Farmed in June","Spring wheat","West","2009","000 Hectares","0.2"
"Area Farmed in June","Spring wheat","West","2010","000 Hectares","0.2"
"Area Farmed in June","Spring wheat","West","2011","000 Hectares","0.2"
"Area Farmed in June","Spring wheat","West","2012","000 Hectares","0.2"
"Area Farmed in June","Spring wheat","Dublin plus Mid East","2008","000 Hectares","4.3"
"Area Farmed in June","Spring wheat","Dublin plus Mid East","2009","000 Hectares","6.5"
"Area Farmed in June","Spring wheat","Dublin plus Mid East","2010","000 Hectares","5.7"
"Area Farmed in June","Spring wheat","Dublin plus Mid East","2011","000 Hectares","3.1"
"Area Farmed in June","Spring wheat","Dublin plus Mid East","2012","000 Hectares","2.5"
"Area Farmed in June","Spring wheat","Mid-West","2008","000 Hectares","0.4"
"Area Farmed in June","Spring wheat","Mid-West","2009","000 Hectares","0.4"
"Area Farmed in June","Spring wheat","Mid-West","2010","000 Hectares","0.3"
"Area Farmed in June","Spring wheat","Mid-West","2011","000 Hectares","0.4"
"Area Farmed in June","Spring wheat","Mid-West","2012","000 Hectares","0.6"
"Area Farmed in June","Spring wheat","South-East","2008","000 Hectares","8.6"
"Area Farmed in June","Spring wheat","South-East","2009","000 Hectares","6.8"
"Area Farmed in June","Spring wheat","South-East","2010","000 Hectares","5.2"
"Area Farmed in June","Spring wheat","South-East","2011","000 Hectares","5.8"
"Area Farmed in June","Spring wheat","South-East","2012","000 Hectares","4.3"
"Area Farmed in June","Spring wheat","South-West","2008","000 Hectares","8"
"Area Farmed in June","Spring wheat","South-West","2009","000 Hectares","3.9"
"Area Farmed in June","Spring wheat","South-West","2010","000 Hectares","4.7"
"Area Farmed in June","Spring wheat","South-West","2011","000 Hectares","5.5"
"Area Farmed in June","Spring wheat","South-West","2012","000 Hectares","4.23"
