"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","South-East","000 Hectares","17.1"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","South-West","000 Hectares","8.3"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","State","000 Hectares","17.3"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","Border","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","Midland","000 Hectares","1.1"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","Dublin plus Mid East","000 Hectares","4.3"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","South-East","000 Hectares","7.1"
"Area Farmed in June (1991 - 2007)","1992","Spring wheat","South-West","000 Hectares","3.8"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","State","000 Hectares","285"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","Border","000 Hectares","24.4"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","Midland","000 Hectares","27.8"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","West","000 Hectares","5.8"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","Dublin plus Mid East","000 Hectares","74.5"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","Mid-West","000 Hectares","10.8"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","South-East","000 Hectares","93.6"
"Area Farmed in June (1991 - 2007)","1993","Total cereals","South-West","000 Hectares","48.2"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","State","000 Hectares","79.2"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","Border","000 Hectares","6.5"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","Midland","000 Hectares","3.9"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","Dublin plus Mid East","000 Hectares","36.4"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","South-East","000 Hectares","21"
"Area Farmed in June (1991 - 2007)","1993","Total wheat","South-West","000 Hectares","10.7"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","State","000 Hectares","57.2"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","Border","000 Hectares","5.9"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","Midland","000 Hectares","2.5"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","Dublin plus Mid East","000 Hectares","30.6"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","South-East","000 Hectares","12.7"
"Area Farmed in June (1991 - 2007)","1993","Winter wheat","South-West","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","State","000 Hectares","22"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","Border","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","Midland","000 Hectares","1.4"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","Dublin plus Mid East","000 Hectares","5.8"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","Mid-West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","South-East","000 Hectares","8.3"
"Area Farmed in June (1991 - 2007)","1993","Spring wheat","South-West","000 Hectares","5.6"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","State","000 Hectares","270"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","Border","000 Hectares","23.8"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","Midland","000 Hectares","26.6"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","West","000 Hectares","4.6"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","Dublin plus Mid East","000 Hectares","71.3"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","Mid-West","000 Hectares","9.5"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","South-East","000 Hectares","89.6"
"Area Farmed in June (1991 - 2007)","1994","Total cereals","South-West","000 Hectares","44.6"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","State","000 Hectares","74.1"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","Border","000 Hectares","6.6"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","Midland","000 Hectares","3.7"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","Dublin plus Mid East","000 Hectares","34.3"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","South-East","000 Hectares","19"
"Area Farmed in June (1991 - 2007)","1994","Total wheat","South-West","000 Hectares","9.8"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","State","000 Hectares","56.2"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","Border","000 Hectares","5.9"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","Midland","000 Hectares","3.1"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","Dublin plus Mid East","000 Hectares","30.1"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","South-East","000 Hectares","11.7"
"Area Farmed in June (1991 - 2007)","1994","Winter wheat","South-West","000 Hectares","4.8"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","State","000 Hectares","17.9"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","Border","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","Midland","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","Dublin plus Mid East","000 Hectares","4.1"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","Mid-West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","South-East","000 Hectares","7.2"
"Area Farmed in June (1991 - 2007)","1994","Spring wheat","South-West","000 Hectares","5"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","State","000 Hectares","273.9"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","Border","000 Hectares","22.5"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","Midland","000 Hectares","28.1"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","West","000 Hectares","5.3"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","Dublin plus Mid East","000 Hectares","76.5"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","Mid-West","000 Hectares","9.8"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","South-East","000 Hectares","88.3"
"Area Farmed in June (1991 - 2007)","1995","Total cereals","South-West","000 Hectares","43.4"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","State","000 Hectares","70.7"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","Border","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","Midland","000 Hectares","3.7"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","Dublin plus Mid East","000 Hectares","36.1"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","South-East","000 Hectares","17.4"
"Area Farmed in June (1991 - 2007)","1995","Total wheat","South-West","000 Hectares","7.9"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","State","000 Hectares","51.8"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","Border","000 Hectares","4.5"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","Midland","000 Hectares","2.6"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","Dublin plus Mid East","000 Hectares","31"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","South-East","000 Hectares","9.8"
"Area Farmed in June (1991 - 2007)","1995","Winter wheat","South-West","000 Hectares","3.5"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","State","000 Hectares","18.9"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","Border","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","Midland","000 Hectares","1.1"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","Dublin plus Mid East","000 Hectares","5.1"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","Mid-West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","South-East","000 Hectares","7.5"
"Area Farmed in June (1991 - 2007)","1995","Spring wheat","South-West","000 Hectares","4.4"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","State","000 Hectares","293.4"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","Border","000 Hectares","22.2"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","Midland","000 Hectares","30"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","West","000 Hectares","6.1"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","Dublin plus Mid East","000 Hectares","81.5"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","Mid-West","000 Hectares","10.7"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","South-East","000 Hectares","96.2"
"Area Farmed in June (1991 - 2007)","1996","Total cereals","South-West","000 Hectares","46.8"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","State","000 Hectares","85.7"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","Border","000 Hectares","6.1"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","Midland","000 Hectares","5"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","Dublin plus Mid East","000 Hectares","41.7"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","Mid-West","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","South-East","000 Hectares","22.4"
"Area Farmed in June (1991 - 2007)","1996","Total wheat","South-West","000 Hectares","9.9"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","State","000 Hectares","67.2"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","Border","000 Hectares","5.5"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","Midland","000 Hectares","3.4"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","Dublin plus Mid East","000 Hectares","38"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","South-East","000 Hectares","14"
"Area Farmed in June (1991 - 2007)","1996","Winter wheat","South-West","000 Hectares","5.7"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","State","000 Hectares","18.5"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","Border","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","Midland","000 Hectares","1.6"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","Dublin plus Mid East","000 Hectares","3.7"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","Mid-West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","South-East","000 Hectares","8.4"
"Area Farmed in June (1991 - 2007)","1996","Spring wheat","South-West","000 Hectares","4.2"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","State","000 Hectares","309.9"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","Border","000 Hectares","25.7"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","Midland","000 Hectares","32.2"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","West","000 Hectares","6.4"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","Dublin plus Mid East","000 Hectares","83.6"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","Mid-West","000 Hectares","10.8"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","South-East","000 Hectares","100.1"
"Area Farmed in June (1991 - 2007)","1997","Total cereals","South-West","000 Hectares","51.1"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","State","000 Hectares","93.9"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","Border","000 Hectares","7.1"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","Midland","000 Hectares","5.3"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","Dublin plus Mid East","000 Hectares","41.2"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","Mid-West","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","South-East","000 Hectares","27.2"
"Area Farmed in June (1991 - 2007)","1997","Total wheat","South-West","000 Hectares","12.3"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","State","000 Hectares","70.2"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","Border","000 Hectares","6.2"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","Midland","000 Hectares","4"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","Dublin plus Mid East","000 Hectares","35.1"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","Mid-West","000 Hectares","0.5"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","South-East","000 Hectares","17.5"
"Area Farmed in June (1991 - 2007)","1997","Winter wheat","South-West","000 Hectares","6.9"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","State","000 Hectares","23.7"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","Border","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","Midland","000 Hectares","1.3"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","Dublin plus Mid East","000 Hectares","6.1"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","Mid-West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","South-East","000 Hectares","9.7"
"Area Farmed in June (1991 - 2007)","1997","Spring wheat","South-West","000 Hectares","5.4"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","State","000 Hectares","300.6"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","Border","000 Hectares","24.7"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","Midland","000 Hectares","29.5"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","West","000 Hectares","5.7"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","Dublin plus Mid East","000 Hectares","81.7"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","Mid-West","000 Hectares","10.4"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","South-East","000 Hectares","98.9"
"Area Farmed in June (1991 - 2007)","1998","Total cereals","South-West","000 Hectares","49.6"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","State","000 Hectares","83.8"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","Border","000 Hectares","7"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","Midland","000 Hectares","4.5"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","Dublin plus Mid East","000 Hectares","39"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","South-East","000 Hectares","23"
"Area Farmed in June (1991 - 2007)","1998","Total wheat","South-West","000 Hectares","9.9"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","State","000 Hectares","65.5"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","Border","000 Hectares","6"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","Midland","000 Hectares","3.7"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","Dublin plus Mid East","000 Hectares","34.8"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","South-East","000 Hectares","14.7"
"Area Farmed in June (1991 - 2007)","1998","Winter wheat","South-West","000 Hectares","6"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","State","000 Hectares","18.4"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","Border","000 Hectares","1"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","Midland","000 Hectares","0.8"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","Dublin plus Mid East","000 Hectares","4.2"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","Mid-West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","South-East","000 Hectares","8.3"
"Area Farmed in June (1991 - 2007)","1998","Spring wheat","South-West","000 Hectares","3.9"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","State","000 Hectares","289.9"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","Border","000 Hectares","26.3"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","Midland","000 Hectares","30.4"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","West","000 Hectares","5.6"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","Dublin plus Mid East","000 Hectares","76.8"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","Mid-West","000 Hectares","10"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","South-East","000 Hectares","92.7"
"Area Farmed in June (1991 - 2007)","1999","Total cereals","South-West","000 Hectares","47.9"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","State","000 Hectares","68.1"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","Border","000 Hectares","5.3"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","Midland","000 Hectares","3.4"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","Dublin plus Mid East","000 Hectares","30.9"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","Mid-West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","South-East","000 Hectares","18.1"
"Area Farmed in June (1991 - 2007)","1999","Total wheat","South-West","000 Hectares","10.1"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","State","000 Hectares","40.6"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","Border","000 Hectares","3.8"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","Midland","000 Hectares","2.1"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","West","000 Hectares","0"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","Dublin plus Mid East","000 Hectares","21.2"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","Mid-West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","South-East","000 Hectares","9.3"
"Area Farmed in June (1991 - 2007)","1999","Winter wheat","South-West","000 Hectares","4"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","State","000 Hectares","27.4"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","Border","000 Hectares","1.4"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","Midland","000 Hectares","1.3"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","Dublin plus Mid East","000 Hectares","9.6"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","Mid-West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","South-East","000 Hectares","8.8"
"Area Farmed in June (1991 - 2007)","1999","Spring wheat","South-West","000 Hectares","6.1"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","State","000 Hectares","279"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","Border","000 Hectares","26"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","Midland","000 Hectares","27.1"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","West","000 Hectares","4.7"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","Dublin plus Mid East","000 Hectares","71"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","Mid-West","000 Hectares","10.1"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","South-East","000 Hectares","95.5"
"Area Farmed in June (1991 - 2007)","2000","Total cereals","South-West","000 Hectares","44.7"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","State","000 Hectares","78"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","Border","000 Hectares","7.1"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","Midland","000 Hectares","3.8"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","Dublin plus Mid East","000 Hectares","36.7"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","Mid-West","000 Hectares","0.9"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","South-East","000 Hectares","20.4"
"Area Farmed in June (1991 - 2007)","2000","Total wheat","South-West","000 Hectares","8.9"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","State","000 Hectares","58.8"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","Border","000 Hectares","6.6"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","Midland","000 Hectares","2.8"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","Dublin plus Mid East","000 Hectares","31.2"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","Mid-West","000 Hectares","0.6"
"Area Farmed in June (1991 - 2007)","2000","Winter wheat","South-East","000 Hectares","12.6"
