"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","State","000 Hectares","301.5"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","Border","000 Hectares","25.1"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","Midland","000 Hectares","29.3"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","West","000 Hectares","6.9"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","Dublin plus Mid East","000 Hectares","78.4"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","Mid-West","000 Hectares","11.2"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","South-East","000 Hectares","99.7"
"Area Farmed in June (1991 - 2007)","1991","Total cereals","South-West","000 Hectares","50.8"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","State","000 Hectares","85.7"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","Border","000 Hectares","6.1"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","Midland","000 Hectares","4.3"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","Dublin plus Mid East","000 Hectares","37.8"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","Mid-West","000 Hectares","1.1"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","South-East","000 Hectares","23.7"
"Area Farmed in June (1991 - 2007)","1991","Total wheat","South-West","000 Hectares","12.4"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","State","000 Hectares","66.9"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","Border","000 Hectares","5.7"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","Midland","000 Hectares","3.2"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","Dublin plus Mid East","000 Hectares","33.7"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","Mid-West","000 Hectares","0.7"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","South-East","000 Hectares","15.7"
"Area Farmed in June (1991 - 2007)","1991","Winter wheat","South-West","000 Hectares","7.8"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","State","000 Hectares","18.8"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","Border","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","Midland","000 Hectares","1.2"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","Dublin plus Mid East","000 Hectares","4.1"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","South-East","000 Hectares","7.9"
"Area Farmed in June (1991 - 2007)","1991","Spring wheat","South-West","000 Hectares","4.7"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","State","000 Hectares","300.3"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","Border","000 Hectares","26.5"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","Midland","000 Hectares","28.9"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","West","000 Hectares","6.4"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","Dublin plus Mid East","000 Hectares","80.6"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","Mid-West","000 Hectares","11"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","South-East","000 Hectares","97.4"
"Area Farmed in June (1991 - 2007)","1992","Total cereals","South-West","000 Hectares","49.4"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","State","000 Hectares","90.6"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","Border","000 Hectares","7.3"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","Midland","000 Hectares","4.6"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","West","000 Hectares","0.3"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","Dublin plus Mid East","000 Hectares","41.3"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","Mid-West","000 Hectares","0.8"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","South-East","000 Hectares","24.2"
"Area Farmed in June (1991 - 2007)","1992","Total wheat","South-West","000 Hectares","12.1"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","State","000 Hectares","73.3"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","Border","000 Hectares","6.7"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","Midland","000 Hectares","3.5"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","West","000 Hectares","0.1"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","Dublin plus Mid East","000 Hectares","37"
"Area Farmed in June (1991 - 2007)","1992","Winter wheat","Mid-West","000 Hectares","0.5"
