"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June","2021","Winter wheat","Mid-West","000 Hectares","3.1"
"Area Farmed in June","2021","Winter wheat","South-East","000 Hectares","11.3"
"Area Farmed in June","2021","Winter wheat","South-West","000 Hectares","4"
"Area Farmed in June","2021","Winter wheat","Eastern and Midland","000 Hectares","37.3"
"Area Farmed in June","2021","Winter wheat","Dublin and Mid-East","000 Hectares","32.9"
"Area Farmed in June","2021","Winter wheat","Midland","000 Hectares","4.4"
"Area Farmed in June","2021","Spring wheat","State","000 Hectares","6.1"
"Area Farmed in June","2021","Spring wheat","Northern and Western","000 Hectares","0.2"
"Area Farmed in June","2021","Spring wheat","Border","000 Hectares","0.2"
"Area Farmed in June","2021","Spring wheat","West","000 Hectares","0"
"Area Farmed in June","2021","Spring wheat","Southern","000 Hectares","3"
"Area Farmed in June","2021","Spring wheat","Mid-West","000 Hectares","0.2"
"Area Farmed in June","2021","Spring wheat","South-East","000 Hectares","1.6"
"Area Farmed in June","2021","Spring wheat","South-West","000 Hectares","1.2"
"Area Farmed in June","2021","Spring wheat","Eastern and Midland","000 Hectares","2.8"
"Area Farmed in June","2021","Spring wheat","Dublin and Mid-East","000 Hectares","2.5"
"Area Farmed in June","2021","Spring wheat","Midland","000 Hectares","0.3"
"Area Farmed in June","2022","Total cereals","State","000 Hectares","288.7"
"Area Farmed in June","2022","Total cereals","Northern and Western","000 Hectares","11.2"
"Area Farmed in June","2022","Total cereals","Border","000 Hectares","6.2"
"Area Farmed in June","2022","Total cereals","West","000 Hectares","4.9"
"Area Farmed in June","2022","Total cereals","Southern","000 Hectares","150.3"
"Area Farmed in June","2022","Total cereals","Mid-West","000 Hectares","24.5"
"Area Farmed in June","2022","Total cereals","South-East","000 Hectares","83.2"
"Area Farmed in June","2022","Total cereals","South-West","000 Hectares","42.6"
"Area Farmed in June","2022","Total cereals","Eastern and Midland","000 Hectares","127.2"
"Area Farmed in June","2022","Total cereals","Dublin and Mid-East","000 Hectares","95.5"
"Area Farmed in June","2022","Total cereals","Midland","000 Hectares","31.7"
"Area Farmed in June","2022","Total wheat","State","000 Hectares","67.2"
"Area Farmed in June","2022","Total wheat","Northern and Western","000 Hectares","1.1"
"Area Farmed in June","2022","Total wheat","Border","000 Hectares","0.8"
"Area Farmed in June","2022","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June","2022","Total wheat","Southern","000 Hectares","23.2"
"Area Farmed in June","2022","Total wheat","Mid-West","000 Hectares","3.8"
"Area Farmed in June","2022","Total wheat","South-East","000 Hectares","13.7"
"Area Farmed in June","2022","Total wheat","South-West","000 Hectares","5.7"
"Area Farmed in June","2022","Total wheat","Eastern and Midland","000 Hectares","42.9"
"Area Farmed in June","2022","Total wheat","Dublin and Mid-East","000 Hectares","37.6"
"Area Farmed in June","2022","Total wheat","Midland","000 Hectares","5.3"
"Area Farmed in June","2022","Winter wheat","State","000 Hectares","60.4"
"Area Farmed in June","2022","Winter wheat","Northern and Western","000 Hectares","0.7"
"Area Farmed in June","2022","Winter wheat","Border","000 Hectares","0.5"
"Area Farmed in June","2022","Winter wheat","West","000 Hectares","0.2"
"Area Farmed in June","2022","Winter wheat","Southern","000 Hectares","19.2"
"Area Farmed in June","2022","Winter wheat","Mid-West","000 Hectares","3.6"
"Area Farmed in June","2022","Winter wheat","South-East","000 Hectares","11.8"
"Area Farmed in June","2022","Winter wheat","South-West","000 Hectares","3.9"
"Area Farmed in June","2022","Winter wheat","Eastern and Midland","000 Hectares","40.5"
"Area Farmed in June","2022","Winter wheat","Dublin and Mid-East","000 Hectares","35.6"
"Area Farmed in June","2022","Winter wheat","Midland","000 Hectares","4.9"
"Area Farmed in June","2022","Spring wheat","State","000 Hectares","6.8"
"Area Farmed in June","2022","Spring wheat","Northern and Western","000 Hectares","0.4"
"Area Farmed in June","2022","Spring wheat","Border","000 Hectares","0.3"
"Area Farmed in June","2022","Spring wheat","West","000 Hectares","0.1"
"Area Farmed in June","2022","Spring wheat","Southern","000 Hectares","4"
"Area Farmed in June","2022","Spring wheat","Mid-West","000 Hectares","0.3"
"Area Farmed in June","2022","Spring wheat","South-East","000 Hectares","1.9"
"Area Farmed in June","2022","Spring wheat","South-West","000 Hectares","1.8"
"Area Farmed in June","2022","Spring wheat","Eastern and Midland","000 Hectares","2.4"
"Area Farmed in June","2022","Spring wheat","Dublin and Mid-East","000 Hectares","2"
"Area Farmed in June","2022","Spring wheat","Midland","000 Hectares","0.4"
"Area Farmed in June","2023","Total cereals","State","000 Hectares","272.4"
"Area Farmed in June","2023","Total cereals","Northern and Western","000 Hectares","10.3"
"Area Farmed in June","2023","Total cereals","Border","000 Hectares","5.5"
"Area Farmed in June","2023","Total cereals","West","000 Hectares","4.8"
"Area Farmed in June","2023","Total cereals","Southern","000 Hectares","143.2"
"Area Farmed in June","2023","Total cereals","Mid-West","000 Hectares","23.1"
"Area Farmed in June","2023","Total cereals","South-East","000 Hectares","79.8"
"Area Farmed in June","2023","Total cereals","South-West","000 Hectares","40.3"
"Area Farmed in June","2023","Total cereals","Eastern and Midland","000 Hectares","118.9"
"Area Farmed in June","2023","Total cereals","Dublin and Mid-East","000 Hectares","89.3"
"Area Farmed in June","2023","Total cereals","Midland","000 Hectares","29.6"
"Area Farmed in June","2023","Total wheat","State","000 Hectares","55.8"
"Area Farmed in June","2023","Total wheat","Northern and Western","000 Hectares","0.9"
"Area Farmed in June","2023","Total wheat","Border","000 Hectares","0.7"
"Area Farmed in June","2023","Total wheat","West","000 Hectares","0.2"
"Area Farmed in June","2023","Total wheat","Southern","000 Hectares","17.7"
"Area Farmed in June","2023","Total wheat","Mid-West","000 Hectares","3.3"
"Area Farmed in June","2023","Total wheat","South-East","000 Hectares","10.1"
"Area Farmed in June","2023","Total wheat","South-West","000 Hectares","4.3"
"Area Farmed in June","2023","Total wheat","Eastern and Midland","000 Hectares","37.2"
"Area Farmed in June","2023","Total wheat","Dublin and Mid-East","000 Hectares","32.8"
"Area Farmed in June","2023","Total wheat","Midland","000 Hectares","4.4"
"Area Farmed in June","2023","Winter wheat","State","000 Hectares","51.2"
"Area Farmed in June","2023","Winter wheat","Northern and Western","000 Hectares","0.6"
"Area Farmed in June","2023","Winter wheat","Border","000 Hectares","0.5"
"Area Farmed in June","2023","Winter wheat","West","000 Hectares","0.2"
"Area Farmed in June","2023","Winter wheat","Southern","000 Hectares","14.7"
"Area Farmed in June","2023","Winter wheat","Mid-West","000 Hectares","2.9"
"Area Farmed in June","2023","Winter wheat","South-East","000 Hectares","9.2"
"Area Farmed in June","2023","Winter wheat","South-West","000 Hectares","2.7"
"Area Farmed in June","2023","Winter wheat","Eastern and Midland","000 Hectares","35.8"
"Area Farmed in June","2023","Winter wheat","Dublin and Mid-East","000 Hectares","31.8"
"Area Farmed in June","2023","Winter wheat","Midland","000 Hectares","4.1"
"Area Farmed in June","2023","Spring wheat","State","000 Hectares","4.6"
"Area Farmed in June","2023","Spring wheat","Northern and Western","000 Hectares","0.3"
"Area Farmed in June","2023","Spring wheat","Border","000 Hectares","0.2"
"Area Farmed in June","2023","Spring wheat","West","000 Hectares","0"
"Area Farmed in June","2023","Spring wheat","Southern","000 Hectares","3"
"Area Farmed in June","2023","Spring wheat","Mid-West","000 Hectares","0.4"
"Area Farmed in June","2023","Spring wheat","South-East","000 Hectares","0.9"
"Area Farmed in June","2023","Spring wheat","South-West","000 Hectares","1.7"
"Area Farmed in June","2023","Spring wheat","Eastern and Midland","000 Hectares","1.3"
"Area Farmed in June","2023","Spring wheat","Dublin and Mid-East","000 Hectares","1.1"
"Area Farmed in June","2023","Spring wheat","Midland","000 Hectares","0.3"
"Area Farmed in June","2024","Total cereals","State","000 Hectares","262.2"
"Area Farmed in June","2024","Total cereals","Northern and Western","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Border","000 Hectares",""
"Area Farmed in June","2024","Total cereals","West","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Southern","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Mid-West","000 Hectares",""
"Area Farmed in June","2024","Total cereals","South-East","000 Hectares",""
"Area Farmed in June","2024","Total cereals","South-West","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Eastern and Midland","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Dublin and Mid-East","000 Hectares",""
"Area Farmed in June","2024","Total cereals","Midland","000 Hectares",""
"Area Farmed in June","2024","Total wheat","State","000 Hectares","47.8"
"Area Farmed in June","2024","Total wheat","Northern and Western","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Border","000 Hectares",""
"Area Farmed in June","2024","Total wheat","West","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Southern","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Mid-West","000 Hectares",""
"Area Farmed in June","2024","Total wheat","South-East","000 Hectares",""
"Area Farmed in June","2024","Total wheat","South-West","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Eastern and Midland","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Dublin and Mid-East","000 Hectares",""
"Area Farmed in June","2024","Total wheat","Midland","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","State","000 Hectares","40.7"
"Area Farmed in June","2024","Winter wheat","Northern and Western","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Border","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","West","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Southern","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Mid-West","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","South-East","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","South-West","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Eastern and Midland","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Dublin and Mid-East","000 Hectares",""
"Area Farmed in June","2024","Winter wheat","Midland","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","State","000 Hectares","7.1"
"Area Farmed in June","2024","Spring wheat","Northern and Western","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Border","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","West","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Southern","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Mid-West","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","South-East","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","South-West","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Eastern and Midland","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Dublin and Mid-East","000 Hectares",""
"Area Farmed in June","2024","Spring wheat","Midland","000 Hectares",""
