"STATISTIC Label","Year","Type of Land Use","Region","UNIT","VALUE"
"Area Farmed in June","2014","Total wheat","South-East","000 Hectares","12.98"
"Area Farmed in June","2014","Total wheat","South-West","000 Hectares","6.479"
"Area Farmed in June","2014","Total wheat","Eastern and Midland","000 Hectares","47.093"
"Area Farmed in June","2014","Total wheat","Dublin and Mid-East","000 Hectares","41.633"
"Area Farmed in June","2014","Total wheat","Midland","000 Hectares","5.46"
"Area Farmed in June","2014","Winter wheat","State","000 Hectares","65.149"
"Area Farmed in June","2014","Winter wheat","Northern and Western","000 Hectares","0.697"
"Area Farmed in June","2014","Winter wheat","Border","000 Hectares","0.509"
"Area Farmed in June","2014","Winter wheat","West","000 Hectares","0.188"
"Area Farmed in June","2014","Winter wheat","Southern","000 Hectares","19.944"
"Area Farmed in June","2014","Winter wheat","Mid-West","000 Hectares","3.751"
"Area Farmed in June","2014","Winter wheat","South-East","000 Hectares","11.668"
"Area Farmed in June","2014","Winter wheat","South-West","000 Hectares","4.525"
"Area Farmed in June","2014","Winter wheat","Eastern and Midland","000 Hectares","44.508"
"Area Farmed in June","2014","Winter wheat","Dublin and Mid-East","000 Hectares","39.837"
"Area Farmed in June","2014","Winter wheat","Midland","000 Hectares","4.671"
"Area Farmed in June","2014","Spring wheat","State","000 Hectares","6.458"
"Area Farmed in June","2014","Spring wheat","Northern and Western","000 Hectares","0.201"
"Area Farmed in June","2014","Spring wheat","Border","000 Hectares","0.139"
"Area Farmed in June","2014","Spring wheat","West","000 Hectares","0.062"
"Area Farmed in June","2014","Spring wheat","Southern","000 Hectares","3.672"
"Area Farmed in June","2014","Spring wheat","Mid-West","000 Hectares","0.406"
"Area Farmed in June","2014","Spring wheat","South-East","000 Hectares","1.312"
"Area Farmed in June","2014","Spring wheat","South-West","000 Hectares","1.954"
"Area Farmed in June","2014","Spring wheat","Eastern and Midland","000 Hectares","2.585"
"Area Farmed in June","2014","Spring wheat","Dublin and Mid-East","000 Hectares","1.796"
"Area Farmed in June","2014","Spring wheat","Midland","000 Hectares","0.789"
"Area Farmed in June","2015","Total cereals","State","000 Hectares","292.419"
"Area Farmed in June","2015","Total cereals","Northern and Western","000 Hectares","11.153"
"Area Farmed in June","2015","Total cereals","Border","000 Hectares","6.106"
"Area Farmed in June","2015","Total cereals","West","000 Hectares","5.047"
"Area Farmed in June","2015","Total cereals","Southern","000 Hectares","150.612"
"Area Farmed in June","2015","Total cereals","Mid-West","000 Hectares","23.664"
"Area Farmed in June","2015","Total cereals","South-East","000 Hectares","85.21"
"Area Farmed in June","2015","Total cereals","South-West","000 Hectares","41.737"
"Area Farmed in June","2015","Total cereals","Eastern and Midland","000 Hectares","130.655"
"Area Farmed in June","2015","Total cereals","Dublin and Mid-East","000 Hectares","99.24"
"Area Farmed in June","2015","Total cereals","Midland","000 Hectares","31.415"
"Area Farmed in June","2015","Total wheat","State","000 Hectares","65.333"
"Area Farmed in June","2015","Total wheat","Northern and Western","000 Hectares","0.866"
"Area Farmed in June","2015","Total wheat","Border","000 Hectares","0.553"
"Area Farmed in June","2015","Total wheat","West","000 Hectares","0.314"
"Area Farmed in June","2015","Total wheat","Southern","000 Hectares","22.861"
"Area Farmed in June","2015","Total wheat","Mid-West","000 Hectares","4.628"
"Area Farmed in June","2015","Total wheat","South-East","000 Hectares","11.699"
"Area Farmed in June","2015","Total wheat","South-West","000 Hectares","6.533"
"Area Farmed in June","2015","Total wheat","Eastern and Midland","000 Hectares","41.606"
"Area Farmed in June","2015","Total wheat","Dublin and Mid-East","000 Hectares","36.84"
"Area Farmed in June","2015","Total wheat","Midland","000 Hectares","4.767"
"Area Farmed in June","2015","Winter wheat","State","000 Hectares","55.259"
"Area Farmed in June","2015","Winter wheat","Northern and Western","000 Hectares","0.656"
"Area Farmed in June","2015","Winter wheat","Border","000 Hectares","0.486"
"Area Farmed in June","2015","Winter wheat","West","000 Hectares","0.17"
"Area Farmed in June","2015","Winter wheat","Southern","000 Hectares","17.1"
"Area Farmed in June","2015","Winter wheat","Mid-West","000 Hectares","3.992"
"Area Farmed in June","2015","Winter wheat","South-East","000 Hectares","9.038"
"Area Farmed in June","2015","Winter wheat","South-West","000 Hectares","4.07"
"Area Farmed in June","2015","Winter wheat","Eastern and Midland","000 Hectares","37.504"
"Area Farmed in June","2015","Winter wheat","Dublin and Mid-East","000 Hectares","33.575"
"Area Farmed in June","2015","Winter wheat","Midland","000 Hectares","3.929"
"Area Farmed in June","2015","Spring wheat","State","000 Hectares","10.074"
"Area Farmed in June","2015","Spring wheat","Northern and Western","000 Hectares","0.21"
"Area Farmed in June","2015","Spring wheat","Border","000 Hectares","0.067"
"Area Farmed in June","2015","Spring wheat","West","000 Hectares","0.143"
"Area Farmed in June","2015","Spring wheat","Southern","000 Hectares","5.761"
"Area Farmed in June","2015","Spring wheat","Mid-West","000 Hectares","0.636"
"Area Farmed in June","2015","Spring wheat","South-East","000 Hectares","2.661"
"Area Farmed in June","2015","Spring wheat","South-West","000 Hectares","2.464"
"Area Farmed in June","2015","Spring wheat","Eastern and Midland","000 Hectares","4.103"
"Area Farmed in June","2015","Spring wheat","Dublin and Mid-East","000 Hectares","3.265"
"Area Farmed in June","2015","Spring wheat","Midland","000 Hectares","0.838"
"Area Farmed in June","2016","Total cereals","State","000 Hectares","281.131"
"Area Farmed in June","2016","Total cereals","Northern and Western","000 Hectares","9.626"
"Area Farmed in June","2016","Total cereals","Border","000 Hectares","5.3"
"Area Farmed in June","2016","Total cereals","West","000 Hectares","4.326"
"Area Farmed in June","2016","Total cereals","Southern","000 Hectares","143.803"
"Area Farmed in June","2016","Total cereals","Mid-West","000 Hectares","22.958"
"Area Farmed in June","2016","Total cereals","South-East","000 Hectares","80.466"
